id,customer_text,gold_intent,predicted_intent,confidence,top_similarity,failure_categories,failure_detail,retrieved_support_sample
75,"J'ai reçu un mail dite un agent à pris en charge mon dossier, mais il lui faut le temps faire les vérifications. Merci, j'espère qu'il m'aidera. Demain soir, je vais mettre à jour l'état de mon remboursement. Si c'est réglé, c'est mieux.",payment_or_billing,other,0.761,0.29,intent_misclassification,Predicted 'other' (conf 0.76) instead of gold 'payment_or_billing',@138650 Je suis sincèrement navrée d'apprendre cela. L'avez-vous signalé à notre service client s'il vous plaît? ^SA
80,Amazon PrimeとKindle Unlimitedは一つになったのかな？ Prime Reading？,technical_issue,technical_issue,0.6794,0.974,short_context_dependency,Short text (5 words) with uncertain confidence,@170171 いつもありがとうございます！😊 スマートフォンやタブレット、PCでもご利用いただけます🙏 YM
89,"It’s the app that comes already installed. Can you reinstall it? Sorry, I don’t know anything about Kindles!",technical_issue,other,0.4738,0.2071,intent_misclassification,Predicted 'other' (conf 0.47) instead of gold 'technical_issue',"@144608 Thank you for the extra information. Reach out to us via the link EA provided, so that we can further troublesho"
97,"I appreciate the reply - Yes, I have reviewed those but still can't get the Dot to get on the public WiFi - updated Dot firmware, but no luck",technical_issue,other,0.3342,0.2774,intent_misclassification,Predicted 'other' (conf 0.33) instead of gold 'technical_issue',@116092 Sorry you're still having trouble! What error are you seeing when you try to use the app? ^JP
102,I want to open my suspended ac Please check __email__,account_or_access,other,0.5535,0.2995,intent_misclassification,Predicted 'other' (conf 0.55) instead of gold 'account_or_access',@220845 I'm sorry about this happening! We'd love to assist you with this. Please reach out to us so that we can see the
103,I notice a possible glitch on the sign in page of your iPhone app,account_or_access,technical_issue,0.508,0.3202,intent_misclassification,Predicted 'technical_issue' (conf 0.51) instead of gold 'account_or_access',@172250 That's weird. Please have this reported to our digital support team here: https://t.co/vlvfJr4nN9 ^JC
106,"Lost my apps on my tablet..reload Amazon and Kindle, can sign into Amazon but not Kindle!!",account_or_access,technical_issue,0.9572,0.4444,intent_misclassification,Predicted 'technical_issue' (conf 0.96) instead of gold 'account_or_access',@164576 I'm sorry for the sign in trouble! Are you getting an error message? Have you tried restarting your device? ^GL
113,"guys i cant log into kindle cloud reader online, it keeps coming up with ""an error occured when trying to load the library""",account_or_access,technical_issue,0.7722,0.2912,intent_misclassification,Predicted 'technical_issue' (conf 0.77) instead of gold 'account_or_access',@191390 Sorry to know you're having trouble loading Amazon pay balance. Kindly connect with us here: https://t.co/R3Efhz
120,I was looking for product. I started placing order from 22-nov itself but your amazon app (which is crap) didnt send me OTP on time and few times transaction got declined.,account_or_access,other,0.327,0.2678,intent_misclassification,Predicted 'other' (conf 0.33) instead of gold 'account_or_access',@131416 What was advised?^CN
129,I think 12 hours completed.😎 Till now no one called me. #FakeAmazonOffers #FraudAmazon,product_or_service_info,other,0.7411,0.2928,intent_misclassification,Predicted 'other' (conf 0.74) instead of gold 'product_or_service_info',@172830 We've emailed you. Kindly check it here: https://t.co/8DWyEheojk ^NS
135,just received an email from __email__ offering $50 off any $100 purchase... Sounds pretty... scammy. What do you think?,product_or_service_info,other,0.5811,0.3167,intent_misclassification,Predicted 'other' (conf 0.58) instead of gold 'product_or_service_info',@173015 Have you been able to check to see if this e-mail is directly from us? Click here for more info https://t.co/y0X
138,I sent an email Though I dont understand why I had to cuz all I want to do is turn off advertisements & promos on my lock screen,product_or_service_info,other,0.5632,0.4563,intent_misclassification,Predicted 'other' (conf 0.56) instead of gold 'product_or_service_info',@172620 Please reach out here so we can look into this for you  https://t.co/hApLpMlfHN ^KM
139,I dont think that is what we were expected as a reply amazon! Here the qsn is if u didn't have the product y did u promote it?????,product_or_service_info,other,0.3964,0.2023,intent_misclassification,Predicted 'other' (conf 0.40) instead of gold 'product_or_service_info',@180441 I'll share your feedback about this internally to the concerned team for review. ^NR
140,"They are running a online e scam ,if u want to save ur money time and self respect stop buying from Amazon #fraudamazon#cheatingoffers",product_or_service_info,complaint_or_feedback,0.5723,0.6015,intent_misclassification,Predicted 'complaint_or_feedback' (conf 0.57) instead of gold 'product_or_service_info',@159034 Apologies for the disappointment. Kindly provide us with additional information on your concern. We'd love to he
143,"I was purchased the wrong mobile. I was not aware that, it is not compatible with JIO sim. I want to return my order 404-9391432-5602714. But amazon support team is not allowing to return my product. It is less than 10 Days.",product_or_service_info,other,0.4825,0.4058,intent_misclassification,Predicted 'other' (conf 0.48) instead of gold 'product_or_service_info',"@138642 I get your concern regarding the return of mobile. However, unless the phone was delivered to you in a damaged/d"
144,Was told I can’t get the price adjustment. I received the item 10 days ago. They offered me a slight discount. Bought the item for $299.99 saw it was marked down to $229.99. Simply asked for a price adjustment and they said I can only return it and buy a new one to get the price.,product_or_service_info,refund_or_compensation,0.3805,0.202,intent_misclassification,Predicted 'refund_or_compensation' (conf 0.38) instead of gold 'product_or_service_info',"@215525 offer you the lowest price, may result in fluctuations in our prices over time. (2/2) ^GK"
147,someone scamming using your name.. Letting you know..,complaint_or_feedback,other,0.5753,0.363,intent_misclassification,Predicted 'other' (conf 0.58) instead of gold 'complaint_or_feedback',@203044 Great! We're glad the situation was taken care of. ^MJ
158,"There's nothing worse than being scammed by a 3rd party seller on and finding out on your favorite holiday, Thanksgiving 😣😔😭",complaint_or_feedback,other,0.6126,0.2669,intent_misclassification,Predicted 'other' (conf 0.61) instead of gold 'complaint_or_feedback',@139817 Please reach out to us using the link provided and we'll be glad to investigate this further: https://t.co/hApLp
163,rudest CSR agent EVER!!!! Been shopping with you since 1999! YIKES! Prime membership FAIL - is there anyone that YOU can get me in touch with?,complaint_or_feedback,other,0.4914,0.3153,intent_misclassification,Predicted 'other' (conf 0.49) instead of gold 'complaint_or_feedback',"@170833 Sorry to know that, you can reach out to us via phone, chat or email using the link here: https://t.co/qWSC0jKBR"
194,sucks never shopping from Amazon 30 days passed after booking the product still asking me to wait for 2 weeks....,booking_or_travel,other,0.5882,0.3737,intent_misclassification,Predicted 'other' (conf 0.59) instead of gold 'booking_or_travel',"@127186 My apologies for the delay, Venky. We are working on this and will get back to you soon with an update. ^KS"
195,"why can't I buy tickets from you! In my basket then its says not available, no matter what option I select. #frustrated",booking_or_travel,product_or_service_info,0.5599,0.2788,intent_misclassification,Predicted 'product_or_service_info' (conf 0.56) instead of gold 'booking_or_travel',"@121993 I'm sorry to hear that. If you get in touch: https://t.co/JzP7hlA23B, we'll be happy to help. ^DC"
197,"Is your intellect challenged ? I have replied to the mail, put this issue here, what else do I do?take a flight to meet Jeff",booking_or_travel,other,0.8509,0.4763,intent_misclassification,Predicted 'other' (conf 0.85) instead of gold 'booking_or_travel',@197813 Thanks a bunch for writing back to our correspondence. We shall review the same and reach out at the earliest. ^
198,This was supposed to be a gift and the entire plan went for a toss. I will thing twice before booking anything in Amazon going forward.,booking_or_travel,other,0.4803,0.2068,intent_misclassification,Predicted 'other' (conf 0.48) instead of gold 'booking_or_travel',@158415 I get your frustration and I'm sorry about this. I've forwarded your feedback to the concerned team for review. 
200,Hello Amazon. My creditcard issuer was so kind to provide me with an authorization code as you did made a reservation on my creditcard account the minute I placed the order. That code should help you to verify that the card belongs to me and my address - where can I send it to?,booking_or_travel,payment_or_billing,0.4023,0.1923,intent_misclassification,Predicted 'payment_or_billing' (conf 0.40) instead of gold 'booking_or_travel',@210965 Sorry your order didn't arrive as expected! What's the latest tracking/delivery date shown here: https://t.co/aa
