query_id,query_text,gold_intent,rank,similarity_score,relevance_score,retrieved_customer,retrieved_support
31,And this is your fault so refund is not a solution right?,refund_or_compensation,3,0.2953,2,This is not a solution Amazon. This is not my answer plz help me with my shipment i need it for the gift please,@206314 will make sure to have your shipment delivered by the estimated delivery date. (2/2) ^VM
31,And this is your fault so refund is not a solution right?,refund_or_compensation,4,0.286,1,I need a compensation for sure.....its purely your fault,"@132993 I'm afraid we do not have a compensation policy. As our team is working on the issue, request you to wait for an update. Further, I'll be sure to pass your feedback to the concerned team internally. Appreciate your understanding. ^NK"
31,And this is your fault so refund is not a solution right?,refund_or_compensation,5,0.2765,1,"But you have not answered that when it is your fault, why can't you deliver it in fastest possible time?",@170108 At times orders are delayed due to delay in procurement. Yet we do our best not to let you down on promised time . ^CB
159,"horrible experience of buying washing machine, no return no replacement no escalation model only mails, last one to expect this!",complaint_or_feedback,1,0.2825,1,I'm thinking of buying one....,@190607 Thank you for the feedback. I shall forward it to the concerned team for review. How could you assist further? ^HR
159,"horrible experience of buying washing machine, no return no replacement no escalation model only mails, last one to expect this!",complaint_or_feedback,2,0.2562,0,I have purchased washing machine from amazon on 8 they delivered washing machine installation not yet completed call on 9000503707,"@215021 Please don't provide your contact detail, we consider it to be personal information. Our page is visible to the public.(2//2)^SF"
159,"horrible experience of buying washing machine, no return no replacement no escalation model only mails, last one to expect this!",complaint_or_feedback,3,0.2414,1,I want to purchase a Washing machine so I have no alternative address,"@158433 In that case, we would suggest placing the order without the exchange offer, Appreciate your understanding. ^ZH"
159,"horrible experience of buying washing machine, no return no replacement no escalation model only mails, last one to expect this!",complaint_or_feedback,4,0.2108,0,horrible experience. Pathetic cs care . Worst experience. Even a prime member,@120927 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/2)
159,"horrible experience of buying washing machine, no return no replacement no escalation model only mails, last one to expect this!",complaint_or_feedback,5,0.2073,1,OrderId 407-5786974-7485166 Ordered a washing machine and it was defected! No one came for taking it back.,@122482 Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.(2/2)^CB
129,I think 12 hours completed.😎 Till now no one called me. #FakeAmazonOffers #FraudAmazon,product_or_service_info,1,0.2928,1,Till now no response from us side,@172830 We've emailed you. Kindly check it here: https://t.co/8DWyEheojk ^NS
129,I think 12 hours completed.😎 Till now no one called me. #FakeAmazonOffers #FraudAmazon,product_or_service_info,2,0.2874,1,I filled it out. No one called. Typical Amazon.,@186446 Have you received any e-mail notifications in either your inbox or spam/junk folder? Sometimes notifications can end up here. ^WM
129,I think 12 hours completed.😎 Till now no one called me. #FakeAmazonOffers #FraudAmazon,product_or_service_info,3,0.2869,1,"On Top of that, I get a #Fake delivery attempt message just now! No one called, no one came for delivery! Is that your standards?","@202515 Sorry about the issue with delivery. Please connect with us here: https://t.co/TK4yevTaND, we'll assist you regarding this. ^NR"
129,I think 12 hours completed.😎 Till now no one called me. #FakeAmazonOffers #FraudAmazon,product_or_service_info,4,0.2863,1,No response till now.,"@190649 Sorry for the miss, kindly connect with our team here: https://t.co/R3EfhzgU8B and we'll look into it. ^PS"
129,I think 12 hours completed.😎 Till now no one called me. #FakeAmazonOffers #FraudAmazon,product_or_service_info,5,0.2863,1,No one called me to deliver package even I tried to call delivery agent but his no is switched off.,@208238 Sorry about the delivery. Please report this to our support team here: https://t.co/vlvfJr4nN9. ^HA
116,"um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",account_or_access,1,0.2757,1,resolved my problrm as soon as problem,"@130737 If you've filled in your details through the link provided earlier, please be assured our respective team will reach out to you at the earliest. ^PB"
116,"um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",account_or_access,2,0.2657,1,I still haven't received a email,"@158930 Hi David, pls contact us for assistance:  https://t.co/JzP7hlA23B  ^TD"
116,"um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",account_or_access,3,0.234,1,Just tried to order from for the first time since my account was unlocked annnnnnnnnnnd it's now locked again and my order has been cancelled. FFS,@127582 I'm sorry to hear this! Have you received an email from our Account Specialists? Be sure to check your junk/spam folder! ^ME
116,"um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",account_or_access,4,0.2286,1,As soon as possible means how much time? #FakeAmazonOffers #FraudAmazon,"@181565 Once the form is submitted, We'd get back latest by 12 hours. ^BS"
116,"um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",account_or_access,5,0.2269,1,How to check that???? While i an not a spammer i think my account was spammed,"@162488 In that case, drop in your details here: https://t.co/GIJyeYqKE0 &amp; we'll get help accordingly, you may 1/2 ^MJ"
70,Reporting is next step... First show me what u said.. R u saying that third party app Komparify is the one to be used for recharge?,payment_or_billing,1,0.3081,1,is this aachi masala costs ₹1776?? Wat is this to be used for?? Sperm whale curry??,"@131411 Prices on our website is offered as per seller's discretion. However, we will consider this as feedback and pass it on internally for improvements. ^RW"
70,Reporting is next step... First show me what u said.. R u saying that third party app Komparify is the one to be used for recharge?,payment_or_billing,2,0.2773,1,Even done this ... What is next step ? How I will get my order..,"@176370 If you have shared your details, our team will definitely get back to you with an update soon. Request you to wait. ^NK"
70,Reporting is next step... First show me what u said.. R u saying that third party app Komparify is the one to be used for recharge?,payment_or_billing,3,0.2689,1,By a third party,@139201 Have you had a chance to contact the seller for available return options: https://t.co/PxWPdv7WNe? ^LI
70,Reporting is next step... First show me what u said.. R u saying that third party app Komparify is the one to be used for recharge?,payment_or_billing,4,0.2547,1,I think third party seller,"@216557 Thanks, can you see tracking info on your order? ^AS"
70,Reporting is next step... First show me what u said.. R u saying that third party app Komparify is the one to be used for recharge?,payment_or_billing,5,0.2019,1,"One is sold by third party, one by Amazon EU","@147317 Hey Debbie, did you get free delivery? The reason why items are being sent separately is because they are coming from different fulfillment centers.^MA"
171,"Amazon UK, didn't even know Amazon IT was a thing.",other,1,0.3429,2,"It was Amazon UK, with delivery for Republic of Ireland",@139199 Please reach out to us directly so we can take a closer look: https://t.co/JzP7hlA23B ^BG
171,"Amazon UK, didn't even know Amazon IT was a thing.",other,2,0.3297,2,Didn’t even know that was a thing! The link just went to a customer service page...which section is it under?,@190343 Please select: 1. An order I placed 2. Where's my stuff? &gt; Shipment is late 3. Preferred contact method ^SB
171,"Amazon UK, didn't even know Amazon IT was a thing.",other,3,0.257,1,It is being dispatched by Amazon UK.,@163161 Please reach out to us here via phone or chat: https://t.co/JzP7hlA23B so we can look into this further with you. ^ZW
171,"Amazon UK, didn't even know Amazon IT was a thing.",other,4,0.2458,1,is there a problem with orders shipping from Amazon Uk and Amazon IT? I order since 18 of November and didnt ship yet!,"@140020 I'm sorry for the concern, Michalis! If the item you're ordering is out of stock or unavailable to ship immediately, it may take additional processing time before being shipped: https://t.co/DwaprVnZZA. I hope this is helpful! ^SD"
171,"Amazon UK, didn't even know Amazon IT was a thing.",other,5,0.2298,0,got amazon uk beta code for bf2 and its not working??????,@158255 Sorry to hear this! Please get in touch with EA for assistance with this. ^RL
175,"I have checked, I didnt receive any mail today from social media escalation team.",other,1,0.5439,1,didnt receive any mail.,"@162537 That's strange, kindly check in the spam/junk folders as well. ^MS"
175,"I have checked, I didnt receive any mail today from social media escalation team.",other,2,0.4659,1,The response. From the 'Social Media escalation team',"@183040 Request you to respond to the email correspondence that was sent to you by our team so that we can assist you further, Uday. ^NK"
175,"I have checked, I didnt receive any mail today from social media escalation team.",other,3,0.3736,2,Answer to my questions I sent on mail to Shruthee.. the social media escalation team member.,"@158284 We hate to keep you waiting, Sakshi. As mentioned earlier, we've received your revert and we'll send an update soon. ^MS"
175,"I have checked, I didnt receive any mail today from social media escalation team.",other,4,0.3698,1,Social media escalation team joins the race in providing pathetic service & no resolution competing with ATS and Leadership team.,@186821 I'm sorry about any inconvenience. Could you confirm if you've shared your details in the link provided earlier? ^HD
175,"I have checked, I didnt receive any mail today from social media escalation team.",other,5,0.3498,1,Social media escalation team is sham & ATS team believe themselves as Gods providing fake updates & none to question them,@186821 I understand your concern. Could you please confirm if you had shared the details through the secure link provided earlier? ^AP
46,Nothing that I hadn't received in the last 10 days. How about you at least process refund? Haven't seen a more horrific customer service,refund_or_compensation,1,0.3294,1,Make things alright? Were you guys sleeping in the last 10 days?,@171760 As requested earlier please respond to the e-mail sent by us so that we can look into it. (2/2) ^MV
46,Nothing that I hadn't received in the last 10 days. How about you at least process refund? Haven't seen a more horrific customer service,refund_or_compensation,2,0.2405,1,I have! At least a dozen times in the last few months - just excuses nothing done. another missing order yesterday (of about 10 now),@191262 I'm sorry Ned. What is the current status of that order on the tracking? ^AT
46,Nothing that I hadn't received in the last 10 days. How about you at least process refund? Haven't seen a more horrific customer service,refund_or_compensation,3,0.236,1,How about compensating for the same?,@226258 We do not have a compensation policy. Request you to wait for an update from our team. ^KA
46,Nothing that I hadn't received in the last 10 days. How about you at least process refund? Haven't seen a more horrific customer service,refund_or_compensation,4,0.203,1,hey how about you ship the ones i already ordered 6 weeks ago first,"@133243 Hi Tommy, without going into personal account information can you please tell us more about this. ^HS"
46,Nothing that I hadn't received in the last 10 days. How about you at least process refund? Haven't seen a more horrific customer service,refund_or_compensation,5,0.1994,1,Constantly lately. Out of the last 10 orders only about half showed up on time,"@204937 Do you notice if this happens with a specific carrier? If so, who: https://t.co/3kQwjObgTc ^GM"
67,Hey your app is throwing errors while I try to make the payment. Tried a number of times already!! My orders got cancelled :(,payment_or_billing,1,0.2745,1,The parcel didn't even arrive. Whom do I make the payment to? Ghost?,@183036 and I'll reach out to you with an update soon. 2/2^EM
67,Hey your app is throwing errors while I try to make the payment. Tried a number of times already!! My orders got cancelled :(,payment_or_billing,2,0.1941,1,Mr CB I have already written n number of times and there are no replies yet,@173344 We've haven't received your revert. Kindly revert to the email sent from us and we'll get back to you soon. ^PS
67,Hey your app is throwing errors while I try to make the payment. Tried a number of times already!! My orders got cancelled :(,payment_or_billing,3,0.1925,1,"I can’t DM you my order ID? Strange, have to login to my account & send u details, then that I have already done n number of times via app","@124161 Being Social Media platform, we can't access your account. Please fill in the details in the form provided earlier. ^JS"
67,Hey your app is throwing errors while I try to make the payment. Tried a number of times already!! My orders got cancelled :(,payment_or_billing,4,0.1791,1,No need to re-ship I will buy it offline...at least I will get the item right after I make the payment,@215061 The resolution provided earlier is the best we could offer at this point. ^AH
67,Hey your app is throwing errors while I try to make the payment. Tried a number of times already!! My orders got cancelled :(,payment_or_billing,5,0.1701,1,I have written you people quite a few number of times. But till date there is no final result from Amazon.,@161042 Apologies! We'd like to have a look. Kindly connect with us via chat/call for further clarity on it. ^PB
183,Of course you’ve missed it - that’s how you work and after 20 minutes on live chat you’ve still done nothing - do you take training in,other,1,0.3091,1,Do you have a live chat? :),"@186829 We do! Using ^JR's link, you'll log in, follow the prompts that best fit your issue, and then select the option to chat. ^DW"
183,Of course you’ve missed it - that’s how you work and after 20 minutes on live chat you’ve still done nothing - do you take training in,other,2,0.2981,1,do you take Bitcoin?,@127398 Hi there! That is a great question. Currently Amazon does not accept Bitcoin as a form of currency. We hope this helps! ^JD
183,Of course you’ve missed it - that’s how you work and after 20 minutes on live chat you’ve still done nothing - do you take training in,other,3,0.2474,1,I've had a look but I don't think so unless i've missed it,@219963 What was the estimated delivery date given to you in your confirmation email? What's the status of your order atm: https://t.co/aaDyEzjw8c ?^MA
183,Of course you’ve missed it - that’s how you work and after 20 minutes on live chat you’ve still done nothing - do you take training in,other,4,0.2092,1,Christmas shopping done in 20 minutes. Thanks,@150355 You are most welcome! :)
183,Of course you’ve missed it - that’s how you work and after 20 minutes on live chat you’ve still done nothing - do you take training in,other,5,0.204,1,Do you've any sales lined up for Cameras in the coming days ?,@216148 We currently do not have any update on this. Stay tuned for upcoming sales. ^SM
166,I do not need it anymore now as it is will no longer meet the need it was supposed to. To think your advisers can lie to people and then fob me off is unacceptable.I could have gone out to the chemist or supermarket to buy but stayed home waiting for something that wasn't coming,complaint_or_feedback,1,0.2257,1,how do I cancel my amazon prime account? I don’t use it anymore as no longer need it.,"@123959 You can find information here on how to get this cancelled: https://t.co/zoEiIIan0o 

If you have questions, let us know! ^KN"
166,I do not need it anymore now as it is will no longer meet the need it was supposed to. To think your advisers can lie to people and then fob me off is unacceptable.I could have gone out to the chemist or supermarket to buy but stayed home waiting for something that wasn't coming,complaint_or_feedback,2,0.2138,1,I'm not sure where it is. I'm still waiting for it so i can return it because I don't need it anymore,@127583 What does the tracking info state? You can find that here: https://t.co/Y5jpI9gRhE ^TR
166,I do not need it anymore now as it is will no longer meet the need it was supposed to. To think your advisers can lie to people and then fob me off is unacceptable.I could have gone out to the chemist or supermarket to buy but stayed home waiting for something that wasn't coming,complaint_or_feedback,3,0.1796,1,Lies lies lies - why lie to people? Do you think we are stupid?,@190939 Please go by the delivery date advised on the order or you can cancel if you do not wish to wait for the delivery date.^CD
166,I do not need it anymore now as it is will no longer meet the need it was supposed to. To think your advisers can lie to people and then fob me off is unacceptable.I could have gone out to the chemist or supermarket to buy but stayed home waiting for something that wasn't coming,complaint_or_feedback,4,0.1717,1,I was sent regular emails that it was with the courier and It will be delivered yesterday. That parcel is supposed to be on an international flight now to someone that is sick. The fact that I was lied to and made to wait all day for something that wasn't even out for delivery,"@146420 Hi, I can certainly understand the importance of this parcel. Have we updated the tracking on the parcel ? Will the item still be needed as its arriving late? ^CR"
166,I do not need it anymore now as it is will no longer meet the need it was supposed to. To think your advisers can lie to people and then fob me off is unacceptable.I could have gone out to the chemist or supermarket to buy but stayed home waiting for something that wasn't coming,complaint_or_feedback,5,0.1671,0,Wtf this is unacceptable,"@222886 I'm so sorry for the trouble! We'd like to review this lost order and assist you directly, please reach us via phone or chat using this link: https://t.co/hApLpMlfHN ^JR"
79,Hmmm. So I’ve received an invite for amazon Echo.,technical_issue,1,0.4989,2,how can I get an invite for Amazon Echo. maybe you can help.,@206058 Check this link https://t.co/Yo6lvGW5Cq out for an invitation. You would find it on the right -hand side of the page. ^VM
79,Hmmm. So I’ve received an invite for amazon Echo.,technical_issue,2,0.4113,2,Amazon please give me an invite for Amazon echo Dot or i will start to cry.,"@201848 We send a limited number of invitations each week to customers, so keep an eye on your inbox. ^SQ"
79,Hmmm. So I’ve received an invite for amazon Echo.,technical_issue,3,0.3679,0,Amazon echo 当選した 買った。来た（笑,@145236 ご利用いただきありがとうございます😊SK
79,Hmmm. So I’ve received an invite for amazon Echo.,technical_issue,4,0.3527,1,"Want to try Amazon Echo Dot, have requested an invite. Invite bhej do yaar!!","@120467 We send a limited number of invitations each week to customers, so keep an eye on your inbox. ^ZH"
79,Hmmm. So I’ve received an invite for amazon Echo.,technical_issue,5,0.3458,1,Disappointed that an invite for Echo has still not been sent. :((,"@126724 We send a limited number of invitations each week to customers, so keep an eye on your inbox. ^SV"
187,help. I’m asking for 2 tickets,booking_or_travel,1,0.4302,2,Brighton keeps saying I have exceeded number of tickets. I’m asking for two! Help.,@122227 HI Gary. Please use this link to get in touch and we'll help: https://t.co/JzP7hlA23B ^RL
187,help. I’m asking for 2 tickets,booking_or_travel,2,0.3227,0,can you link me to Kevin bridges tickets on your tickets website pls quick,"@146412 https://t.co/gDP3aQK40G is the website, I could not find any tickets for Kevin Bridges."
187,help. I’m asking for 2 tickets,booking_or_travel,3,0.3063,1,When I was asking for help so decently then nobody came up to help me so y now. Fulfill my requirements,@178550 I'll surely pass on your feedback to the concerned team internally. ^HN
187,help. I’m asking for 2 tickets,booking_or_travel,4,0.2901,1,I sent a message this morning via Amazon's help page asking for help via email. I'm still waiting for a response.,"@207730 For the fastest resolution, contact us using the link ^SB sent and choose the chat or phone option in step 3. ^NC"
187,help. I’m asking for 2 tickets,booking_or_travel,5,0.2851,1,I have not received my product as of now but you guys are asking for my experience.. Here I am fighting for my and you are asking for my experience..,"@145395 I understand your concern. This is a automated email. You may share your feedback, once you've received your order. Please do keep us posted for any further assistance. ^SV"
178,u only know copy and paste the line to satisfy customer from last 24hr u only saying u are working on it,other,1,0.2396,1,Yes you are working on it. I am asking what is all that you are working? What steps are you taking? That is all I am asking .,@134321 Apologies for the stretch with regards to your order. Kindly request you to respond to our correspondence you have received. We'd be glad to assist you. ^JS
178,u only know copy and paste the line to satisfy customer from last 24hr u only saying u are working on it,other,2,0.2327,1,Any update. Almost 1 months gone. I don't think you are working on it. i think you are w8ing for 1 year completion .,@207926 We have received your reply. We will check and connect with you accordingly. ^RW
178,u only know copy and paste the line to satisfy customer from last 24hr u only saying u are working on it,other,3,0.2167,1,"I've already filled it twice , please don't copy and paste same message #NotAGreatIndianSale","@192047 If you've shared your details, we'll check and get back to you at the earliest. ^HA"
178,u only know copy and paste the line to satisfy customer from last 24hr u only saying u are working on it,other,4,0.1953,1,I think I am talking with ROBOT..only copy paste line I received.. my biggest mistake to purchase from #Amazon ..,"@120933 I do get your concern Aman, please respond to the email you've received from us and we'll check this for you. ^HN"
178,u only know copy and paste the line to satisfy customer from last 24hr u only saying u are working on it,other,5,0.1905,1,Tell me clearly. Is issue ko solve karne bhi vaale ho ya ye plan bnaya hua Hai ki baar baar yehi reply Dena ki we are working on it.,@134321 I realize this is taking longer than expected. Kindly reply to the email sent by our team and we'll respond to it with an update on your concern. ^MO
57,"You told that it was bcoz of limited stock, u should check stick b4 payment",payment_or_billing,1,0.1949,1,Appreciate if u could solve the issue today ?? I lost my patience bcoz of ur Amazon home services team.,@183298 You'll receive a correspondence from us soon. Kindly wait. ^HD
57,"You told that it was bcoz of limited stock, u should check stick b4 payment",payment_or_billing,2,0.18,1,Sent all communication to you on 9th & was told that it will be done ASAP. See all communication sent to you.,@206187 Did you receive any e-mail response from us? ^BM
57,"You told that it was bcoz of limited stock, u should check stick b4 payment",payment_or_billing,3,0.1753,1,How much that stick,"@177333 It's currently available at discounted price of Rs. 3,499. Click here: https://t.co/aaS2BLdkpV for more info. ^HD"
57,"You told that it was bcoz of limited stock, u should check stick b4 payment",payment_or_billing,4,0.173,1,It was from Amazon directly. Out of stock now.,"@190976 Thanks for confirming Anthony- Can you please get in contact with us directly via:https://t.co/00XZezvzhp Thanks, ^NV"
57,"You told that it was bcoz of limited stock, u should check stick b4 payment",payment_or_billing,5,0.172,1,Just been told that it’s not in stock and not to expect it in stock again. Absolute joke. Could have told me that prior to release date. Wasted a holiday to play snd now have to spend more as it’s st least £20 more elsewhere,"@226917 Hello Mark, you shouldn't have received an update like that if you already ordered it. Please contact us here: https://t.co/JzP7hlA23B. We can investigate this further. ^HS"
153,I have called amazon thrice in the last 12 hours and there has been no resolution . This is ridiculous .,complaint_or_feedback,1,0.2498,1,"There has been no action from your end,also my package should have been delivered first thing in the morning.",@195058 Apologies for the trouble you've had with the order. Could you confirm if you've filled in your details as asked earlier? ^MM
153,I have called amazon thrice in the last 12 hours and there has been no resolution . This is ridiculous .,complaint_or_feedback,2,0.2271,1,There has been no email or call from your End. Spam was also checked regularly,@226840 That's unusual. I request you to share your details in the link provided earlier and we'll check it. Kindly do as requested as we cannot access your amazon account from social media. ^NR
153,I have called amazon thrice in the last 12 hours and there has been no resolution . This is ridiculous .,complaint_or_feedback,3,0.2159,1,Please read the series of tweets and note. There has been no follow up,@182810 Apologies for the stretch. Please respond to the email sent by our team and we'll get back to you soon.^SU
153,I have called amazon thrice in the last 12 hours and there has been no resolution . This is ridiculous .,complaint_or_feedback,4,0.2055,1,"Hi, order number #403-7377624-0138707, was to be delivered on the 9th. However, there has been no update. Please check.","@215426 Also, please don't provide your order/account details as we consider them to be personal information. ^HK"
153,I have called amazon thrice in the last 12 hours and there has been no resolution . This is ridiculous .,complaint_or_feedback,5,0.2044,1,Amazon has been creating lot of problems and still there is no resolution,@171436 We have sent a correspondence to your registered e-mail id. Please keep us posted if your issue is still unresolved. ^RD
83,is there a prob with your app on smart TVs? 2 days and still not working 😩,technical_issue,1,0.3712,1,It's still not working,@218357 Please reach out to us directly for some real time troubleshooting here: https://t.co/hApLpMlfHN. ^CE
83,is there a prob with your app on smart TVs? 2 days and still not working 😩,technical_issue,2,0.2914,1,"Now we're getting ""low bandwidth"" messages on the Amazon Video app, but again not on anything else. Help, ! There's clearly something funky with your app on TVs",@142554 Please reach out to us here with the provided link so we may look into this further: https://t.co/JzP7hlA23B ^CR
83,is there a prob with your app on smart TVs? 2 days and still not working 😩,technical_issue,3,0.2785,1,"Hi, thanks. Nope still not working.","@148037 We'd like to try some real-time troubleshooting over the phone. At your earliest convenience, please request a callback here: https://t.co/AQaDoISPyr ^NC"
83,is there a prob with your app on smart TVs? 2 days and still not working 😩,technical_issue,4,0.2474,1,WHY IS MY NOT WORKING?!,@180539 Thanks for reaching out. Can you tell me a bit more about the issue you're experiencing? ^GG
83,is there a prob with your app on smart TVs? 2 days and still not working 😩,technical_issue,5,0.2335,1,And still not received today,@218229 We'd like to take a closer look into this for you. Please reach out to us by phone at this link: https://t.co/JzP7hlA23B ^VS
69,reg. Ord 404-7091504-9405917. You should have alerted me regarding the deduction to my Amazon Pay Balance before doing so. #sucks,payment_or_billing,1,0.32,1,please update my Amazon pay balance..,@202278 I'm sorry but I didn't understand that. Could you please elaborate on this. ^HA
69,reg. Ord 404-7091504-9405917. You should have alerted me regarding the deduction to my Amazon Pay Balance before doing so. #sucks,payment_or_billing,2,0.2851,2,"well,if you can not transfer my amazon pay balance to my bank account , then kindly credit back my bucks in the amazon pay balance.",@191092 Sorry for the situation. Please connect with us here: https://t.co/00q4Sqj9zL and we'll have this issue checked. ^KA
69,reg. Ord 404-7091504-9405917. You should have alerted me regarding the deduction to my Amazon Pay Balance before doing so. #sucks,payment_or_billing,3,0.2455,1,I should have got a 5% cash back into my Amazon Pay Balance for Order# 171-5546134-2977952 I placed yesterday but did not. Why?,"@122218 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^VH"
69,reg. Ord 404-7091504-9405917. You should have alerted me regarding the deduction to my Amazon Pay Balance before doing so. #sucks,payment_or_billing,4,0.2332,1,You should have a compensate policy with you guys,"@182219 I'll forward your feedback to the appropriate team internally, Shubham. ^NK"
69,reg. Ord 404-7091504-9405917. You should have alerted me regarding the deduction to my Amazon Pay Balance before doing so. #sucks,payment_or_billing,5,0.2307,1,How to buy a product using Amazon pay balance?,@169673 Kindly get in touch with us here: https://t.co/8oyYDT1CuZ and we’ll be glad to help you. ^AG
125,"what order lmao, there's no beef available on the site",product_or_service_info,1,0.4405,1,Phantom's available on ?,"@211501 Sorry, I was unable to comprehend your concern. Could you elaborate on it? ^MA"
125,"what order lmao, there's no beef available on the site",product_or_service_info,2,0.3202,1,is services available on ehco dot??,"@119699 Echo lets you play music from services like Amazon Prime Music, Saavn and TuneIn. ^GK"
125,"what order lmao, there's no beef available on the site",product_or_service_info,3,0.2961,1,where can I direct my beef with the lack of beef 🤔,@170301 Please use this link to contact the Prime Now team: https://t.co/NlJqB2FK4n    ^TD
125,"what order lmao, there's no beef available on the site",product_or_service_info,4,0.2673,1,"Your return authorization, return mailing label and acknowledgement letter not available on the site.. Also how do I pack the return packet","@158261 Choose Reason &gt; Choose Issue &gt; Choose the mode of contact phone, e-mail or chat. (2/2) ^GK"
125,"what order lmao, there's no beef available on the site",product_or_service_info,5,0.2358,1,"why can't I order frozen ground beef on in san francisco I can order ground turkey, but not beef? or anything else?","@170301 Hey, what happens when you try to place the order? ^RS"
17,disappoints again. Received text that groceries were delivered but they weren’t (prob wrong house). And they can’t re-deliver 😩,delivery_or_delay,1,0.2572,1,I was alerted that my packages were delivered but they are nowhere to be found. Help!,@221860 I'm so sorry for the difficulty! What does the tracking information say who the carrier is here: https://t.co/Y5jpI9gRhE? ^MH
