id,customer_text,gold_intent,intent,confidence,reply,decision,reason,top_similarity
125,"what order lmao, there's no beef available on the site",product_or_service_info,product_or_service_info,0.933,"Thanks for reaching out! You can view full product specifications, compatibility details, and availability directly on the product detail page under 'Product Information'.",AUTO_HANDLE,General product inquiry grounded in historical catalog self-service guidance.,0.4405
17,disappoints again. Received text that groceries were delivered but they weren’t (prob wrong house). And they can’t re-deliver 😩,delivery_or_delay,delivery_or_delay,0.9912,"We are sorry to hear your delivery is delayed! Please check your order tracking in 'Your Orders' for real-time carrier updates, or message us directly with your order details so we can investigate.",AUTO_HANDLE,Clear delivery inquiry with strong historical guidance on order tracking and carrier follow-up.,0.2572
149,Bitter experience with bcoz of which i missed oneplus5T .Very poor service,complaint_or_feedback,complaint_or_feedback,0.9303,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'complaint_or_feedback' requires individual account inspection.,0.4404
94,my frnd got an invite for Amazon Echo....can I book echo for me using his invite? Because I cannot book using his invite. Help.,technical_issue,technical_issue,0.9967,"We're sorry for the technical trouble. Please try clearing the app cache, ensuring your device is updated, and restarting the application. If the issue persists, our technical team is here to help.",AUTO_HANDLE,Standard technical issue supported by historical troubleshooting guidance.,0.4841
66,Now if my #prime fees aren’t due until the 22nd why would they suspend my membership TODAY? What’s with these companies?💩🤢,payment_or_billing,other,0.3666,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Intent confidence (0.37) below threshold (0.4).,0.2198
61,Can you please PM me I have a problem with my kindle fire it won't start up but it's fully charged :(,payment_or_billing,technical_issue,0.6394,"We're sorry for the technical trouble. Please try clearing the app cache, ensuring your device is updated, and restarting the application. If the issue persists, our technical team is here to help.",AUTO_HANDLE,Standard technical issue supported by historical troubleshooting guidance.,0.3126
85,Currently trying to figure out why my computer at work won’t load Amazon Prime Video???,technical_issue,technical_issue,0.8396,"We're sorry for the technical trouble. Please try clearing the app cache, ensuring your device is updated, and restarting the application. If the issue persists, our technical team is here to help.",AUTO_HANDLE,Standard technical issue supported by historical troubleshooting guidance.,0.3581
68,Just ordered One plus 5t. Please get in touch with me. There is an issue with the payment option. Order no: 171-3942478-2297142,payment_or_billing,payment_or_billing,0.7387,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Triggered sensitive keyword guard 'sue' requiring human oversight.,0.2862
126,Hey till when is your exchange offer on electronics on till?,product_or_service_info,product_or_service_info,0.9375,"Thanks for reaching out! You can view full product specifications, compatibility details, and availability directly on the product detail page under 'Product Information'.",AUTO_HANDLE,General product inquiry grounded in historical catalog self-service guidance.,0.3222
133,"ibwz tryng 2 pik dis deal,bt m getting extra 1k exchange nly in spite of 2k. So wts actually offer. Plz explain",product_or_service_info,product_or_service_info,0.9224,"Thanks for reaching out! You can view full product specifications, compatibility details, and availability directly on the product detail page under 'Product Information'.",AUTO_HANDLE,General product inquiry grounded in historical catalog self-service guidance.,0.3453
10,"Sort it out please, I don't pay the subscription fee to have my parcels left where anyone could steal them.",delivery_or_delay,delivery_or_delay,0.3783,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Intent confidence (0.38) below threshold (0.4).,0.2639
19,paid 4 nextday delivery only 2 b told after notifications all day saying that they r delivering 2day only 2 b told they cant deliv,delivery_or_delay,delivery_or_delay,0.9801,"We are sorry to hear your delivery is delayed! Please check your order tracking in 'Your Orders' for real-time carrier updates, or message us directly with your order details so we can investigate.",AUTO_HANDLE,Clear delivery inquiry with strong historical guidance on order tracking and carrier follow-up.,0.2668
56,What is this ? The #GST charged by you on which price !!! cont... 2/1,payment_or_billing,payment_or_billing,0.8586,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'payment_or_billing' requires individual account inspection.,0.3884
76,I have £173.94 of pending transactions currently waiting to be paid to amazon. I have only ordered about £127 of stuff and I was told the transactions would clear and the extra payments would be cancelled when I received the order. I sent two emails regarding this and got 1 back.,payment_or_billing,payment_or_billing,0.3176,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Intent confidence (0.32) below threshold (0.4).,0.23
151,pathetic service i am not happy with your service inspite i am prime user of Amazon service.,complaint_or_feedback,complaint_or_feedback,0.966,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'complaint_or_feedback' requires individual account inspection.,0.3306
105,Lost my 2FA device. But the alternative login page gives a 404. So I’m locked out :(,account_or_access,account_or_access,0.9901,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Account security and authentication issues require direct human specialist verification.,0.296
136,I have raised a complaint today evening 👍 any cash back offers for jio/airtel users on upgrading to Amazon prime account. ?,product_or_service_info,product_or_service_info,0.646,"Thanks for reaching out! You can view full product specifications, compatibility details, and availability directly on the product detail page under 'Product Information'.",AUTO_HANDLE,General product inquiry grounded in historical catalog self-service guidance.,0.3135
138,I sent an email Though I dont understand why I had to cuz all I want to do is turn off advertisements & promos on my lock screen,product_or_service_info,other,0.5632,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'other' requires individual account inspection.,0.4563
165,I’ve been very disappointed with the past year or so. I keep getting my prime orders late. I just had to cancel another late order because it’s not going to be here in time for my work’s donation to the . I ordered it a week in advance.,complaint_or_feedback,complaint_or_feedback,0.4309,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'complaint_or_feedback' requires individual account inspection.,0.2949
77,foi um kindle!! <3,technical_issue,technical_issue,0.9987,"We're sorry for the technical trouble. Please try clearing the app cache, ensuring your device is updated, and restarting the application. If the issue persists, our technical team is here to help.",AUTO_HANDLE,Standard technical issue supported by historical troubleshooting guidance.,0.6272
80,Amazon PrimeとKindle Unlimitedは一つになったのかな？ Prime Reading？,technical_issue,technical_issue,0.6794,"We're sorry for the technical trouble. Please try clearing the app cache, ensuring your device is updated, and restarting the application. If the issue persists, our technical team is here to help.",AUTO_HANDLE,Standard technical issue supported by historical troubleshooting guidance.,0.974
198,This was supposed to be a gift and the entire plan went for a toss. I will thing twice before booking anything in Amazon going forward.,booking_or_travel,other,0.4803,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'other' requires individual account inspection.,0.2068
39,For my return amazon has issued refund amount on 29th oct 2017 but this is still not credited into my bank account,refund_or_compensation,refund_or_compensation,0.9307,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Triggered sensitive keyword guard 'sue' requiring human oversight.,1.0
25,Hey what is going on with your provider ? I’ve ordered 5 things and 4 of them have been delayed. Ordered a Prime on 3 of them. On is now 7 days late...should have just bought it at the store,delivery_or_delay,delivery_or_delay,0.4993,"We are sorry to hear your delivery is delayed! Please check your order tracking in 'Your Orders' for real-time carrier updates, or message us directly with your order details so we can investigate.",AUTO_HANDLE,Clear delivery inquiry with strong historical guidance on order tracking and carrier follow-up.,0.3509
123,It says in stock,product_or_service_info,product_or_service_info,0.9997,"Thanks for reaching out! You can view full product specifications, compatibility details, and availability directly on the product detail page under 'Product Information'.",AUTO_HANDLE,General product inquiry grounded in historical catalog self-service guidance.,0.414
196,Morrissey presale allowing buying 2 tickets for 2 venues(altho email said 1 venue only).Will 2nd order be ok or cancelled?,booking_or_travel,booking_or_travel,0.9591,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'booking_or_travel' requires individual account inspection.,0.2645
30,It has been refunded now to my amazon account,refund_or_compensation,refund_or_compensation,0.7821,Thank you for reaching out to Amazon Help. We'd like to look into this for you; please connect with our team directly so we can review the specifics of your request.,ESCALATE_TO_HUMAN,Customer intent 'refund_or_compensation' requires individual account inspection.,0.367
20,I ordered an Apple Ipad whose delivery date was yesterday (Oct 4). I haven't received it yet and customer care just wastes my time☹️,delivery_or_delay,delivery_or_delay,0.9923,"We are sorry to hear your delivery is delayed! Please check your order tracking in 'Your Orders' for real-time carrier updates, or message us directly with your order details so we can investigate.",AUTO_HANDLE,Clear delivery inquiry with strong historical guidance on order tracking and carrier follow-up.,0.3481
144,Was told I can’t get the price adjustment. I received the item 10 days ago. They offered me a slight discount. Bought the item for $299.99 saw it was marked down to $229.99. Simply asked for a price adjustment and they said I can only return it and buy a new one to get the price.,product_or_service_info,refund_or_compensation,0.3805,"We apologize for the inconvenience. To securely investigate your account details and resolve this, our specialist team will review your case directly.",ESCALATE_TO_HUMAN,Intent confidence (0.38) below threshold (0.4).,0.202
87,How do I disable notifications indicated by the bell icon in upper left corner of iOS Kindle app?,technical_issue,technical_issue,0.9708,"We're sorry for the technical trouble. Please try clearing the app cache, ensuring your device is updated, and restarting the application. If the issue persists, our technical team is here to help.",AUTO_HANDLE,Standard technical issue supported by historical troubleshooting guidance.,0.2619
